config,retrieval_strategy,use_reranker,chunk_size,use_agentic,faithfulness,answer_relevancy,context_precision,context_recall,recall@k,mrr
dense_512,dense,False,512,False,0.14814814814814814,0.36964866163279125,0.6666666666155865,0.63,0.7,0.6
hybrid_512,hybrid,False,512,False,0.2,0.607721135023095,0.7962962962324074,0.75,0.8,0.67
dense_512_rerank,dense,True,512,False,0.21875,0.32850984223196633,0.6648148147683641,0.7,0.9,0.7166666666666667
dense_256,dense,False,256,False,0.3611111111111111,0.6473202761942569,0.766666666614568,0.8333333333333334,0.0,0.0
dense_1024,dense,False,1024,False,0.2962962962962963,0.3580620115003811,0.4449999999605,0.31,0.0,0.0
agentic_512,dense,False,512,True,0.21296296296296294,0.5940371281267093,0.6574074073512346,0.75,0.8,0.6
